Дата создания;Текст;Блок;Объект;Тема сообщения;Параметр сообщения;Аспект сообщения;Локация (район);Населенный пункт (город или поселок, не СПб, например, Пушкин, Колпино, Парголово);Название улицы (проспекта, переулка);Тип улицы;Номер дома (без пробелов, вид: 12 или 1к4 или 8стр1 или 11/2 или 23литБ);Адрес объекта - Не править!;Объект в сообщении;ИОГВ;Улицы объекта - Не править!
23.2.22;Судя по состоянию дворов Центрального района вы все уехали в Донбасс благоустройством заниматься...<br>Вот они обрадуются, когда узнают до какого состояния свои дворы довели, прежде чем со своей помощью приехать... Да вас поганой метлой погонят!;Дороги;Уборка/Содержание;Двор: отсутствует уборка;Дворы;Отсутствие уборки;Центральный район;;;;;;;;
23.2.22;А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3😡;Дороги;Уборка/Содержание;Двор: отсутствует уборка;Дворы;Отсутствие уборки;Выборгский район;;Энгельса;пр-т;126к3;Энгельса пр-т 126к3;;;Энгельса пр-т
23.2.22;Неужели не будет порядка? Воду откачали. Она собирается снова и никуда не уходит. Куда ещё писать ?В прокуратуру ? На бездействие всех веток власти? Как говорится, сравните было и стало. То есть даже губернатор ничего не может сделать...;Дороги;Лужи;Дворы: лужа;Дворы;Неудовлетворительное состояние;Калининский район;;Замшина;ул;9;Замшина ул 9;;АР;Замшина ул
23.2.22;Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лёд и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил.;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Невский район;;Елизарова;ул;35;Елизарова ул 35;Придомовая территория;АР;Елизарова ул
23.2.22;Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лёд по которому невозможно ходить. Прошу принять меры по этому вопросу;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Невский район;;Евдокима Огнева;ул;22;Евдокима Огнева ул 22;Придомовая территория;АР;Евдокима Огнева ул
23.2.22;Здравствуйте. Извините за беспокойство. Звонил много раз по телефону 004, жаловался на отвратительную уборку снега во дворе по улице Кржижановского 5/4 . Начал жаловаться давно- но реакций никаких нет, в одной из последних была подмена адреса, убрали другой, который тоже, конечно, нуждался в очищении от калии, льда. До сих пор никаких реакций нет;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Невский район;;Кржижановского;ул;04.май;Кржижановского ул 5/4;Придомовая территория;АР;Кржижановского ул
23.2.22;[club82032767|Невский район Санкт-Петербурга] как людям пробираться к своим подъездам🤦‍♀️ Кто контролирует работу, за что люди платят, дворники перестали существовать🤦‍♀️;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Невский район;;;;;;Придомовая территория;АР;
23.2.22;Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Невский район;;Шотмана;ул;14;Шотмана ул 14;Придомовая территория;АР;Шотмана ул
23.2.22;Сегодня уже 23.02.2022, уборка должна была пройти до 22.02.2022, но 22.02 прошло, а всё как было так и осталось😭 Трактор постоял, мото-часы помотал (зп же именно за мото-часы платят😂) и на этом уборка видимо закончилась. На видео двор Юнтоловский 53/1, выезд из придомовой территории на Юнтоловский и въезд на парковку;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Приморский район;;Юнтоловский;пр-т;53к1;Юнтоловский пр-т 53к1;Придомовая территория;АР;Юнтоловский пр-т
23.2.22;У д. 39 по ул. Авангардная, твориться жесть. На лево пойдешь, скользко - упадёшь, а на право только в плавь, даже прямо не всегда можно пройти, на газоне паркуют машины. Гибдд отписывается, что это не к ним, а в Администрацию (а наша любимая администрация, говорит, что есть специально обученные люди, которые ходят и фиксируют все нарушения!!!!!! Где они? Где обещанная уборка? По тел. 004 хамят, трубки бросают. Работники администрации и жилконторы по телефону перекладывают друг на друга вину. В конце января 1 раз проехал трактор, типо почистил, на наши с соседями жалобы, через 004, проехал 2 раза и посыпал песком, по фото видно, что гололед и море. Куда обращаться? и что делать?;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Красносельский район;;Авангардная;ул;;Авангардная ул;;ар;Авангардная ул
23.2.22;[id919566|Лена], 🤦‍♀️ мне обещали сначала до 11.02, потом до 18.02, в итоге 0, никакой уборки не было , и похоже не будет 🤷‍♀️;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Красносельский район;;;;;;;ар;
23.2.22;[id4604890|Наталья], сейчас все растает и они напишут что убрали. Как уже было в январе, когда на улице был + лёд растаял на наших ступенях крыльца дома, и у дома, со ступеней мы сами с младшим скинули остатки льда, это было 13 января, а до этого был лёд и я писала, 14 января они мне ответили что на 13 января все чисто! И ведь не стыдно это писать!;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Красносельский район;;;;;;;ар;
